1	22079
2	22009
3	21849
4	23128
5	22615
6	2048
7	23222
8	22874
9	24323
10	22853
11	23855
12	24042
13	0
14	25908
15	24692
16	67012
17	23646
18	26923
19	23504
20	25501
21	47072
22	25833
23	25761
24	25998
25	68431
26	17723
27	13987
28	16251
29	19674
30	22263
31	21231
32	24556
33	27275
34	27074
35	26972
36	27057
37	25392
38	25379
39	36839
40	23348
41	19950
42	26683
43	35434
44	23265
45	65292
46	24410
47	25212
48	25500
49	22876
50	23928
51	22936
52	1906
53	23195
54	24209
55	1869
56	24133
57	24576
58	2021
59	24970
60	65394
61	67254
62	25399
63	25749
64	28308
65	27946
66	2072
67	15033
68	1675
69	20760
70	26017
71	2216
72	24454
73	25725
74	26870
75	26389
76	26280
77	26939
78	21692
79	13662
80	15698
81	19384
82	20973
83	22797
84	24530
85	25494
86	2316
87	24795
88	25221
89	25904
90	42047
91	26448
92	22097
93	25678
94	23002
95	67187
96	54217
97	24262
98	22241
99	23584
100	45672
101	45558
102	23761
103	22110
104	24430
105	22685
106	23150
107	23133
108	3160
109	22734
110	20819
111	24123
112	43689
113	7046
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	11569
122	11973
123	11123
124	11479
125	16969
126	15997
127	16555
128	17959
129	18868
130	43570
131	10544
132	12755
133	43515
134	20077
135	23269
136	2423
137	20350
138	20941
139	63742
140	22139
141	3684
142	34088
143	22816
144	23624
145	3494
146	23566
147	21104
148	24069
149	23918
150	23621
151	20945
152	22441
153	21124
154	22571
155	20360
156	21157
157	21742
158	21492
159	2614
160	65783
161	23091
162	21004
163	22591
164	23271
165	22220
166	66116
167	23076
168	24331
169	25151
170	22561
171	26115
172	47097
173	33047
174	24735
175	26226
176	24129
177	24088
178	24617
179	39583
180	25422
181	25430
182	32689
183	15535
184	0
185	0
186	22241
187	23507
188	20800
189	24294
190	24321
191	25142
192	24073
193	64600
194	22731
195	23835
196	22897
197	36592
198	24124
199	25135
200	1776
201	24888
202	62353
203	23776
204	23382
205	22778
206	23832
207	22806
208	22387
209	23419
210	24941
211	27290
212	27522
213	25780
214	24656
215	24594
216	27049
217	26935
218	29105
219	28266
220	29007
221	30731
222	107617
223	34022
224	29296
225	1641
226	28283
227	30265
228	32162
229	75293
230	31669
231	34053
232	61698
233	29116
234	27946
235	25204
236	24434
237	27323
238	28541
239	32095
240	50576
241	71339
242	31103
243	32933
244	31426
245	31444
246	4129
247	30115
248	31309
249	28485
250	29801
251	31646
252	27938
253	30030
254	27654
255	28028
256	9241
257	54692
258	29844
259	57091
260	28641
261	53523
262	77079
263	32733
264	33884
265	4663
266	70830
267	30254
268	54455
269	31431
270	4114
271	48365
272	31394
273	33501
274	32472
275	49247
276	72652
277	4143
278	31891
279	33348
280	30691
281	31858
282	31733
283	33166
