time,pce
1,551.2903924823668
2,553.4488881451988
3,555.6928563648198
4,558.0249194071921
5,560.4460199741665
6,562.9561649037007
7,565.5564111601826
8,568.2451011918329
9,571.0219995387691
10,573.8904005551752
11,576.8512399352801
12,579.9027673477472
13,583.0431309580167
14,586.2683431160217
15,589.5755715159129
16,592.9666258345608
17,596.4431894358627
18,600.007282276025
19,603.6620727233906
20,607.4088101630025
21,611.2503267343031
22,615.1922852016866
23,619.2381428998013
24,623.3886778947452
25,627.6432835429739
26,631.9976597380369
27,636.447835242525
28,640.9934884695916
29,645.632034677667
30,650.3589116374117
31,655.1706693255272
32,660.0629658951938
33,665.032605886828
34,670.0797408067504
35,675.2022929292325
36,680.3940900839191
37,685.6493070401593
38,690.9610678240795
39,696.3229837013796
40,701.7330732304887
41,707.1891296530575
42,712.6883870829281
43,718.230120949587
44,723.8136098443779
45,729.4400352866553
46,735.1142069598812
47,740.8392037229231
48,746.6145423540453
49,752.4392307520191
50,758.309730528848
51,764.2234386766722
52,770.1830968120576
53,776.1901084165094
54,782.2444457715237
55,788.3474428411165
56,794.498628704195
57,800.6986070752286
58,806.9511413676126
59,813.2579609110571
60,819.6180937835461
61,826.03044676172
62,832.4920526373394
63,839.0011246844138
64,845.5605256772442
65,852.1732545089237
66,858.8429219284068
67,865.5741247427169
68,872.36918584529
69,879.2320139049228
70,886.1692360127591
71,893.1856932733942
72,900.2846271697332
73,907.4682562049378
74,914.7355954382296
75,922.0865026060653
76,929.5244029833713
77,937.0512554483356
78,944.6681018650096
79,952.3766107727472
80,960.1766780431018
81,968.0690216896603
82,976.0566657936797
83,984.1408141146994
84,992.3203530072448
85,1000.594003297942
86,1008.958993355863
87,1017.4135987679812
88,1025.9600785409245
89,1034.6010318711621
90,1043.339845283444
91,1052.181259939812
92,1061.1288874633583
93,1070.18839043645
94,1079.3685998356355
95,1088.6767702276932
96,1098.117917378136
97,1107.6963014397463
98,1117.413288086563
99,1127.2715616535604
100,1137.278806267857
101,1147.4415877047759
102,1157.7657240935052
103,1168.2571564994173
104,1178.918022999028
105,1189.750492286107
106,1200.7580392222926
107,1211.941337661451
108,1223.299012665155
109,1234.8277373048074
110,1246.5202945625613
111,1258.3705858177218
112,1270.3766661927102
113,1282.5364165236283
114,1294.8491167434174
115,1307.3130658208238
116,1319.9207717921497
