time,time_marathon
1.0,164.59281965217525
2.0,162.8526164170398
3.0,161.11566986166807
4.0,159.55541166521851
5.0,158.22330693320941
6.0,157.1078069468417
7.0,156.00183024837784
8.0,154.7606422009533
9.0,153.4985959433437
10.0,152.2462807445202
11.0,150.98086492896735
12.0,149.74440944556477
13.0,148.482854060092
14.0,147.22064681915407
15.0,146.16825618854685
16.0,145.43899341311487
17.0,145.01369325337646
18.0,144.89520028090294
19.0,145.01947246326156
20.0,145.32361942043485
21.0,145.87163009345315
22.0,146.66725549205563
23.0,147.63427860947215
24.0,148.72963798448498
25.0,149.8809560073067
26.0,151.00676017851202
27.0,152.07006708451567
28.0,153.02196817542708
29.0,153.8044292085971
30.0,154.39209159326867
31.0,154.7841980868609
32.0,154.982670552101
33.0,154.99205372003334
34.0,154.8390454537405
35.0,154.56979726892567
36.0,154.22052059849986
37.0,153.80836067205064
38.0,153.33395533873406
39.0,152.76190226144624
40.0,152.0812549698184
41.0,151.35100948361207
42.0,150.62394727863634
43.0,149.95550406007027
44.0,149.39927969373142
45.0,148.946517347944
46.0,148.5914016296633
47.0,148.34384994988594
48.0,148.17986127395446
49.0,148.06543449959472
50.0,147.9393850042582
51.0,147.6850910247082
52.0,147.223881362246
53.0,146.5596736839026
54.0,145.7171205473748
55.0,144.77647679544086
56.0,143.81807691829826
57.0,142.83959427010907
58.0,141.88214329248834
59.0,141.0373604175759
60.0,140.3521855687846
61.0,139.85802335270714
62.0,139.54638595627867
63.0,139.31139392053237
64.0,139.07722948790735
65.0,138.85646127830273
66.0,138.62514175960368
67.0,138.3483859917826
68.0,138.01460212164383
69.0,137.57849127168575
70.0,137.03510238683663
71.0,136.46017043618266
72.0,135.8956184012326
73.0,135.33243830292918
74.0,134.78136247796007
75.0,134.23996886652066
76.0,133.7019534174911
77.0,133.20132946635104
78.0,132.74486633583595
79.0,132.29541031816828
80.0,131.84109055978212
81.0,131.3923035016693
82.0,130.95597473486592
83.0,130.55976824821647
84.0,130.22498446510755
85.0,129.93810733392004
86.0,129.69762806007998
87.0,129.51468639830688
88.0,129.38723261696387
89.0,129.31563705070505
90.0,129.29391789361566
91.0,129.2959406202005
92.0,129.3046563592949
93.0,129.3210123144247
94.0,129.3435537748818
95.0,129.37689687527404
96.0,129.42489189606076
97.0,129.47359765666195
98.0,129.51416081298396
99.0,129.54536835379258
100.0,129.56173765399745
101.0,129.5634007012691
102.0,129.5498520192211
103.0,129.51317301267127
104.0,129.45219675617264
105.0,129.37444908737072
106.0,129.28934654462145
107.0,129.21307242993743
108.0,129.15946586401554
109.0,129.13024520749025
110.0,129.12733760761694
111.0,129.1509719385044
112.0,129.20080632906343
113.0,129.28636271747442
114.0,129.41397847879526
115.0,129.58409553851595
116.0,129.7973587727456
117.0,130.04757673513197
118.0,130.3259581502637
119.0,130.62461772348007
120.0,130.9277296280126
